id,start_node,end_node,lbl,source_idx,target_idx,label_encoded
E_8feea21d-7278-5bd6-88a8-dfd36a1e1914,SENSORDATA_594b649d-5249-5076-8052-5eaefe61877a,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_45996905-d8a2-58b5-8d98-aa7ea620b8dd,SENSORDATA_f1e26669-dadd-5d23-9e64-d5a8df72d767,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_c80a5268-9960-55be-aafd-0c77b3cd22b8,SENSORDATA_110d7115-1423-563a-b510-06c72d76043e,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_90f1b695-ced4-55eb-8d9f-2f2f3cb6aff7,SENSORDATA_12393f0f-3ce1-5d94-aaba-e1b2faca5cbe,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_7e5ed8d5-8699-5aca-96b0-5d40b22d0db0,SENSORDATA_0d8416f5-7658-5338-8a72-14159e8bda59,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_dba73cb9-08b6-518b-a05f-55d808225ddc,SENSORDATA_68ac4d91-9f81-571c-8620-185ae0ce408e,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_af39887e-c4e1-5329-ab63-09094607c923,SENSORDATA_f0795eef-a88e-5786-b8d4-4e37f3c39520,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_1834691c-d61e-5fcb-b667-f88aeb586ded,SENSORDATA_50a70496-eb01-5a55-b556-2b2f5027bfc7,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_166c5efe-1c8c-5604-bb78-3d73ea381e43,SENSORDATA_be3e7a39-8e88-525c-815f-a5ba8f2e74b0,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_7bd23828-1a03-5856-b5b2-07233d49fcc5,SENSORDATA_3468c1d6-4706-59cd-bca2-15d70d215f60,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_985f31eb-f14a-550d-b62c-b7c20df654b2,SENSORDATA_4e1b0030-ef3f-549f-a239-2330ed798506,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_8c370ad5-0e20-5558-bca0-65b33ff03ebb,SENSORDATA_4e832f39-cc48-5862-a902-10053f6d70a1,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_766c27b0-42a8-56b9-99ae-1da1d7abfc07,SENSORDATA_320626b5-5c82-5cdc-ac18-f97a541c1e78,PLANT_3ea94b7f-ec86-4efd-857c-96cf7bc5524f,MEASURES,,,1
E_cd73ec60-0a61-590a-9e08-1cb91c9e9343,SENSORDATA_2244b99b-6f28-5294-8f2f-cc835889c865,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_f5ff418d-5213-54da-a3fe-377ec7d2e326,SENSORDATA_19258438-63ac-5823-bdf2-e765cce706bb,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_87b44faa-f490-501e-a049-f90fb66aa09f,SENSORDATA_8014a4a1-5133-5bcc-a8ae-55fe186570a9,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_fd647a8f-0e90-5775-b25e-72444298f331,SENSORDATA_8186f23d-25c4-5a3e-b598-a9ce94837045,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_07355f66-35af-582e-94fb-124dec1ed666,SENSORDATA_7c16cc46-f264-5f16-87c2-4331bb389b29,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_9c2b8c46-31a5-5ce6-b5ca-fd63c59c0fe2,SENSORDATA_ad28bd97-4fda-5e9d-acf8-6ca0738783f3,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_1970dfe9-6930-5269-87a2-3a36f80b70b5,SENSORDATA_c9abe430-ce8f-5cb9-aa6e-2e333364767a,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_5422b01a-4afc-52e6-8e25-74026972fc5b,SENSORDATA_12690203-4415-5d40-a462-4a8838e6a3e0,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_5c32caaa-839d-573f-ac91-1fe94a854a3c,SENSORDATA_7876a356-0e93-5682-9f5a-11fc2ad934c0,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
